data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,variacao_diaria,total_linhas,ano,mes,ema_short,ema_long,macd,macd_signal,indicativo_macd,grad_n3,grad_n5,grad_n7,grad_n10,max_50,gradiente_ema_curto,gradiente_ema_longo
2025-09-06 09:45:00,202.69,SOLUSDT,10492.606,2129501.98371,-0.5500000000000114,0.0,0.5500000000000114,0.12317433057511606,0.15258635931862713,0.8072433940042204,44.66710995776008,-0.27061602046841715,192,2025,9,203.00693621154323,203.17340535266874,-0.16646914112550348,-0.19200576129617578,Alta,-0.03158630448902816,-0.028963352851547643,0.012297841342601921,0.028608529154535878,204.41,-0.028963352851547643,-0.010399570422819266
2025-09-06 10:00:00,202.68,SOLUSDT,7704.998,1561472.44793,-0.009999999999990905,0.0,0.009999999999990905,0.11437616410546492,0.14240161936729598,0.803194265722884,44.542858248325835,-0.0049336425082646684,192,2025,9,202.92520215865744,203.14933679888,-0.2241346402225588,-0.1984315370814524,Baixa,-0.09368972836674605,-0.043972514638684713,-0.02247304756448772,0.014410942320446362,204.41,-0.043972514638684713,-0.014233737719297097
2025-09-06 10:15:00,202.58,SOLUSDT,14949.691,3027759.28242,-0.09999999999999432,0.0,0.09999999999999432,0.1062064380979317,0.13937293226963157,0.7620305920841516,43.247296358391395,-0.0493388592855748,192,2025,9,202.83890161899308,203.12156427210536,-0.28266265311228267,-0.21527776028761847,Baixa,-0.08401729627510371,-0.06497938597899691,-0.049176214244769624,-0.0024039144717912272,204.41,-0.06497938597899691,-0.019783311489073863
2025-09-06 10:30:00,203.07,SOLUSDT,18544.736,3762059.04466,0.4899999999999807,0.4899999999999807,-0.0,0.13362026394807805,0.12941772282180075,1.032472686388277,50.79884680876035,0.2418797512093951,192,2025,9,202.8966762142448,203.11904894175873,-0.22237272751394244,-0.21669675373288327,Baixa,-0.014262972206339047,-0.05998453948425962,-0.04643573211216177,-0.017969602520509293,204.41,-0.05998453948425962,-0.021013393855454355
2025-09-06 10:45:00,202.91,SOLUSDT,9587.657,1945776.15958,-0.1599999999999966,0.0,0.1599999999999966,0.12407595938035819,0.1316021711916719,0.9428108841733913,48.52818624055267,-0.07879056482985591,192,2025,9,202.9000071606836,203.10885143240463,-0.20884427172103415,-0.21512625733051347,Alta,0.030552770845260615,-0.0242384046132077,-0.039648227655557026,-0.02994689886007701,204.41,-0.0242384046132077,-0.01593956976497046
2025-09-06 11:00:00,202.84,SOLUSDT,4883.127,989943.08563,-0.06999999999999318,0.0,0.06999999999999318,0.11521339085318974,0.127202016106552,0.9057512952992831,47.527255919143535,-0.03449805332412792,192,2025,9,202.88500537051272,203.09573672838488,-0.21073135787216302,-0.2142472774388434,Alta,-0.005835421866049517,-0.001928803459902518,-0.03303974217024954,-0.034308658993541546,204.41,-0.001928803459902518,-0.011991298069115834
2025-09-06 11:15:00,202.42,SOLUSDT,44725.204,9055821.99465,-0.4200000000000159,0.0,0.4200000000000159,0.10698386293510476,0.14811615781322798,0.7222970438512835,41.938006363648626,-0.20705975152830458,192,2025,9,202.76875402788454,203.06277396114658,-0.29401993326203524,-0.23020180860348177,Baixa,-0.06562656639956485,-0.015196602594910485,-0.02620837805624977,-0.03562543363909061,204.41,-0.015196602594910485,-0.014089283529155762
2025-09-06 11:30:00,202.17,SOLUSDT,27866.703,5630233.80567,-0.25,0.0,0.25,0.09934215843974013,0.1553935751122831,0.6392938599163976,38.99812446982513,-0.12350558245233234,192,2025,9,202.6190655209134,203.01922401182233,-0.40015849090892175,-0.26419314506456976,Baixa,-0.13296992479965777,-0.06864745194620449,-0.03822771211360113,-0.042991802502039746,204.41,-0.06864745194620449,-0.024572733113067152
2025-09-06 11:45:00,202.38,SOLUSDT,6970.575,1410754.26385,0.21000000000000796,0.21000000000000796,-0.0,0.10724628997975927,0.1442940340328343,0.7432482617774427,42.63582405753357,0.10387297818668095,192,2025,9,202.55929914068506,202.98804235270904,-0.42874321202398846,-0.2971031584564535,Baixa,-0.104727443599764,-0.09473558895964479,-0.05447435551377714,-0.050516579149269714,204.41,-0.09473558895964479,-0.03181308759539754
2025-09-06 12:00:00,202.57,SOLUSDT,5431.471,1100153.47442,0.18999999999999773,0.18999999999999773,-0.0,0.11315726926691916,0.13398731731620328,0.8445371661548663,45.785857918785865,0.09388279474256134,192,2025,9,202.5619743555138,202.9676500428208,-0.40567568730699577,-0.318817664226562,Baixa,-0.02854558269980687,-0.08555169171973503,-0.06969505234962146,-0.04887228284679461,204.41,-0.08555169171973503,-0.033090497956563006
